TYPE,1M,5M,15M,50M,100M,300M,1B, Over 1B
Manufacturing (Factories),200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Retail,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Agriculture,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Energy,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Finance,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Real State,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Insurance,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Accounting or tax related,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Veterinary or petcare,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Healthcare,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Transportation,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Construction,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Oil & Gas,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Sewage,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Military,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Tourism,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Architecture,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Maintenance,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Media,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Educational Services,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Tourism,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
NGOs (Social Organizations) / ONG (Non - profit organizations),200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Government related entities,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Entertainment Services,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Notaries,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Tourism,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Technology Services,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Auditory,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Consulting,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Law firms,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000
Security Services,200000,2400000,2400000,5000000,5000000,8000000,9000000,10000000